Name:,Alexander Richter
Email:,amr8004@psu.edu
Direct Fetched:,T
Hand Fetched:,T
Comment:,None

id/nickname,Composition,Structure,Processing,Material Comment,Name,Source,Property Parameters,Temperature [K],Value [SI],Uncertainty [SI],Unit [SI],Pointer,DOI
MT-A,Ir12.4576 Rh12.4576 Ru5.0847 W35 Mo35,BCC+HCP,VAM+AA,annealed at 2100K for 2h,None,None,None,None,None,None,None,T2,10.2320/matertrans.MT-M2019212
MT-B,Ir21.5932 Rh21.5932 Ru8.8136 W24 Mo24,HCP,VAM+AA,annealed at 2100K for 2h,None,None,None,None,None,None,None,T2,10.2320/matertrans.MT-M2019212
MT-C,Ir29.0678 Rh29.0678 Ru11.8644 W15 Mo15,HCP,VAM+AA,annealed at 2100K for 2h,None,None,None,None,None,None,None,T2,10.2320/matertrans.MT-M2019212
MT-D,Ir34.8814 Rh34.8814 Ru14.2373 W8 Mo8,HCP,VAM+AA,annealed at 2100K for 2h,None,None,None,None,None,None,None,T2,10.2320/matertrans.MT-M2019212
MT-E,Ir37.3729 Rh37.3729 Ru15.2542 W5 Mo5,FCC,VAM+AA,annealed at 2100K for 2h,None,None,None,None,None,None,None,T2,10.2320/matertrans.MT-M2019212
MT-Cprime,Ir29.0678 Rh29.0678 Ru11.8644 W15 Mo15,HCP,VAM+AA,annealed at 1273K for 200h,None,None,None,None,None,None,None,T2,10.2320/matertrans.MT-M2019212
JIM-1,Co Cr Fe Ni Ta0.1,FCC+C14,AC,hypoeutectic majority FCC,None,None,None,None,None,None,None,P2,10.1016/j.intermet.2020.106769
JIM-3,Co Cr Fe Ni Ta0.3,FCC+C14,AC,hypoeutectic majority FCC,None,None,None,None,None,None,None,P2,10.1016/j.intermet.2020.106769
JIM-43,Co Cr Fe Ni Ta0.43,FCC+C14,AC,eutectic,None,None,None,None,None,None,None,P2,10.1016/j.intermet.2020.106769
JIM-5,Co Cr Fe Ni Ta0.5,FCC+C14,AC,hypereutectic majority laves,None,None,None,None,None,None,None,P2,10.1016/j.intermet.2020.106769
JIM-7,Co Cr Fe Ni Ta0.7,FCC+C14,AC,hypereutectic majority laves,None,None,None,None,None,None,None,P2,10.1016/j.intermet.2020.106769
JM-A05,Co2 Mo0.5 Ni2 V W0.5,FCC+mu,AAM,hypoeutectic primary FCC,compressive yield stress,EXP,None,298.0,925000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A06,Co2 Mo0.6 Ni2 V W0.6,FCC+mu,AAM,hypoeutectic primary FCC,compressive yield stress,EXP,None,298.0,1411000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A08,Co2 Mo0.8 Ni2 V W0.8,FCC+mu,AAM,Eutectic,compressive yield stress,EXP,None,298.0,1431000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A10,Co2 Mo Ni2 V W,BCC+FCC+mu,AAM,hypereutectic primary BCC secondary FCC,compressive yield stress,EXP,None,298.0,1371000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A15,Co2 Mo1.5 Ni2 V W1.5,BCC+FCC+mu,AAM,hypereutectic primary BCC secondary FCC,compressive yield stress,EXP,None,298.0,1320000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A175,Co2 Mo1.75 Ni2 V W1.75,BCC+FCC+mu,AAM,hypereutectic primary BCC,compressive yield stress,EXP,None,298.0,1607000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A05,Co2 Mo0.5 Ni2 V W0.5,FCC+mu,AAM,hypoeutectic primary FCC,minimum ultimate compressive strength,EXP,None,298.0,3400000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A06,Co2 Mo0.6 Ni2 V W0.6,FCC+mu,AAM,hypoeutectic primary FCC,ultimate compressive strength,EXP,None,298.0,2108000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A08,Co2 Mo0.8 Ni2 V W0.8,FCC+mu,AAM,Eutectic,ultimate compressive strength,EXP,None,298.0,2364000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A10,Co2 Mo Ni2 V W,BCC+FCC+mu,AAM,hypereutectic primary BCC secondary FCC,ultimate compressive strength,EXP,None,298.0,2208600000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A15,Co2 Mo1.5 Ni2 V W1.5,BCC+FCC+mu,AAM,hypereutectic primary BCC secondary FCC,ultimate compressive strength,EXP,None,298.0,2133000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A175,Co2 Mo1.75 Ni2 V W1.75,BCC+FCC+mu,AAM,hypereutectic primary BCC,ultimate compressive strength,EXP,None,298.0,2313000000.0,None,Pa,T3,10.1016/j.matdes.2016.07.113
JM-A05,Co2 Mo0.5 Ni2 V W0.5,FCC+mu,AAM,hypoeutectic primary FCC,minimum compressive plastic strain,EXP,None,298.0,50.0,None,%,T3,10.1016/j.matdes.2016.07.113
JM-A06,Co2 Mo0.6 Ni2 V W0.6,FCC+mu,AAM,hypoeutectic primary FCC,compressive plastic strain,EXP,None,298.0,11.8,None,%,T3,10.1016/j.matdes.2016.07.113
JM-A08,Co2 Mo0.8 Ni2 V W0.8,FCC+mu,AAM,Eutectic,compressive plastic strain,EXP,None,298.0,14.4,None,%,T3,10.1016/j.matdes.2016.07.113
